City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,tommot,58.9564,126.2925,3.95,92,77,0.61,RU,1685303894
382,villa gesell,-37.2639,-56.973,11.14,60,99,4.41,AR,1685303895
383,darovskoy,58.77,47.9564,12.12,96,100,3.55,RU,1685303895
384,kavaratti,10.5669,72.642,29.98,72,98,6.13,IN,1685303895
385,khromtau,50.2503,58.4347,18.48,34,100,3.72,KZ,1685303896
386,mbeya,-8.9,33.45,12.26,92,13,2.59,TZ,1685303896
387,palikir - national government center,6.9248,158.1611,26.5,82,100,7.83,FM,1685303897
388,machico,32.7,-16.7667,21.67,81,40,2.57,PT,1685303897
389,morehead city,34.7229,-76.726,25.58,87,75,4.63,US,1685303898
390,ngawi,-7.4038,111.4461,21.89,83,65,1.74,ID,1685303898
391,joshua tree,34.1347,-116.3131,31.34,22,0,4.92,US,1685303703
392,laojunmiao,39.8333,97.7333,10.59,67,100,5.14,CN,1685303899
393,kafir qala,34.6667,61.0667,23.92,17,1,4.96,AF,1685303900
394,namikupa,-10.8333,39.6,18.99,97,0,0.72,TZ,1685303900
395,coyhaique,-45.5752,-72.0662,6.97,65,75,0.0,CL,1685303901
396,cambria,35.5641,-121.0808,23.09,85,47,2.24,US,1685303902
397,tazacorte,28.629,-17.9293,22.54,87,40,2.06,ES,1685303902
398,formosa do rio preto,-11.0483,-45.1931,31.31,33,93,2.32,BR,1685303903
399,tacna,-18.0056,-70.2483,20.11,60,75,3.09,PE,1685303903
400,roma,43.2128,-75.4557,28.06,35,0,4.12,US,1685303701
401,sai buri,6.7013,101.6168,26.09,81,100,2.72,TH,1685303904
402,teapa,17.55,-92.95,37.53,26,13,2.5,MX,1685303904
403,santiago de cao,-7.9589,-79.2392,24.07,73,40,4.63,PE,1685303905
404,miri,4.4148,114.0089,26.08,94,20,1.03,MY,1685303632
405,karratha,-20.7377,116.8463,17.56,31,9,6.56,AU,1685303905
406,kindu,-2.95,25.95,23.95,68,41,0.16,CD,1685303906
407,dapa,9.7594,126.0531,29.12,71,99,5.64,PH,1685303906
408,langxiang,46.95,128.8833,9.38,65,96,1.6,CN,1685303907
409,ouadda,8.0777,22.4007,21.26,95,100,1.23,CF,1685303907
410,ladnun,27.65,74.3833,24.78,67,100,6.37,IN,1685303907
411,manali,13.1667,80.2667,31.05,84,100,3.31,IN,1685303908
412,carnarvon,-24.8667,113.6333,21.16,27,100,3.66,AU,1685303908
413,aldinga beach,-35.2793,138.4604,15.37,86,20,4.19,AU,1685303441
414,suwayr,30.1171,40.3893,25.52,53,100,2.28,SA,1685303909
415,ar rutbah,33.0381,40.2848,22.33,58,100,3.67,IQ,1685303909
416,broome,42.2506,-75.833,29.26,32,0,1.54,US,1685303910
417,kurmuk,10.55,34.2833,24.66,75,94,0.46,SD,1685303910
418,yuzhno-kurilsk,44.0306,145.8556,10.44,96,91,0.92,RU,1685303911
419,bairnsdale,-37.8333,147.6167,6.7,92,47,0.45,AU,1685303911
420,phang nga,8.4509,98.5298,27.02,91,98,1.45,TH,1685303911
421,rawson,-43.3002,-65.1023,11.25,31,100,1.19,AR,1685303912
422,saint-paul,-21.0096,55.2707,24.05,91,17,0.75,RE,1685303749
423,lockwood,45.8191,-108.4149,24.67,42,20,2.57,US,1685303913
424,pithoragarh,29.5833,80.2167,16.48,55,76,1.22,IN,1685303913
425,pimentel,-6.8367,-79.9342,28.16,57,40,8.23,PE,1685303913
426,arteche,12.2645,125.4048,27.76,79,100,6.0,PH,1685303914
427,sao domingos do maranhao,-5.5758,-44.3853,29.45,66,66,0.63,BR,1685303914
428,telica,12.522,-86.8594,31.64,59,95,1.86,NI,1685303915
429,minas novas,-17.2186,-42.5903,25.39,37,98,1.07,BR,1685303915
430,villa del carbon,19.7272,-99.4683,21.08,50,96,2.91,MX,1685303685
431,fort wellington,6.4,-57.6,27.7,81,55,3.34,GY,1685303916
432,quzhou,28.9594,118.8686,24.59,90,71,1.46,CN,1685303917
433,qeshm,26.9581,56.2719,30.93,77,0,2.37,IR,1685303904
434,freetown,8.484,-13.2299,28.84,70,40,5.66,SL,1685303559
435,quelimane,-17.8786,36.8883,23.97,78,20,1.03,MZ,1685303918
436,caleta de carquin,-11.0925,-77.6267,23.34,74,53,4.76,PE,1685303918
437,beaufort,5.3473,115.7455,23.96,97,90,1.02,MY,1685303919
438,fort bragg,35.139,-79.006,21.82,94,100,4.63,US,1685303919
439,gao,16.6362,1.637,35.62,13,99,5.02,ML,1685303919
440,maceio,-9.6658,-35.7353,25.69,88,75,1.03,BR,1685303920
441,itaituba,-4.2761,-55.9836,34.09,55,40,2.57,BR,1685303920
442,abancay,-13.6339,-72.8814,21.4,55,100,2.98,PE,1685303868
443,novofedorivka,46.1713,32.3178,17.95,83,33,4.39,UA,1685303921
444,burela de cabo,43.65,-7.4,17.32,95,16,2.77,ES,1685303921
445,kavieng,-2.5744,150.7967,27.37,80,100,5.24,PG,1685303922
446,redwood falls,44.5394,-95.1169,29.01,21,0,7.2,US,1685303922
447,kargasok,59.0556,80.8572,10.45,81,100,1.8,RU,1685303923
448,mount pearl,47.5166,-52.7813,13.58,63,100,1.34,CA,1685303923
449,ghadamis,30.1337,9.5007,29.63,18,24,7.3,LY,1685303923
450,lamu,-2.2717,40.902,25.12,82,34,4.12,KE,1685303924
451,umm kaddadah,13.6017,26.6876,28.66,42,53,5.79,SD,1685303924
452,mokhotlong,-29.2894,29.0675,8.51,77,14,1.88,LS,1685303924
453,parauapebas,-6.0675,-49.9022,31.99,58,40,2.57,BR,1685303925
454,tocache,-8.1842,-76.5125,29.69,65,62,0.91,PE,1685303925
